q4_0_o512_n1	7.27
q4_0_o512_n2	7.53
q4_0_o512_n3	8.42
q4_0_o512_n4	9.26
q4_0_o512_n5	10.05
q4_0_o512_n6	11.26
q4_0_o512_n7	28.27
q4_0_o512_n8	28.35
q4_0_o1024_n1	9.03
q4_0_o1024_n2	9.87
q4_0_o1024_n3	11.98
q4_0_o1024_n4	13.05
q4_0_o1024_n5	14.71
q4_0_o1024_n6	16.83
q4_0_o1024_n7	30.90
q4_0_o1024_n8	30.86
q4_0_o2048_n1	13.03
q4_0_o2048_n2	14.73
q4_0_o2048_n3	19.97
q4_0_o2048_n4	20.68
q4_0_o2048_n5	24.32
q4_0_o2048_n6	28.29
q4_0_o2048_n7	44.89
q4_0_o2048_n8	49.78
q4_0_o4096_n1	21.38
q4_0_o4096_n2	24.55
q4_0_o4096_n3	30.79
q4_0_o4096_n4	41.08
q4_0_o4096_n5	43.79
q4_0_o4096_n6	51.14
q4_0_o4096_n7	64.31
q4_0_o4096_n8	64.43
q4_0_o8192_n1	40.03
q4_0_o8192_n2	45.77
q4_0_o8192_n3	55.95
q4_0_o8192_n4	69.08
q4_0_o8192_n5	85.33
q4_0_o8192_n6	99.44
q4_0_o8192_n7	124.77
q4_0_o8192_n8	123.63
q4_0_o17408_n1	231.09
q4_0_o17408_n2	231.78
q4_0_o17408_n3	234.24
q4_0_o17408_n4	240.42
q4_0_o17408_n5	245.49
q4_0_o17408_n6	254.93
q4_0_o17408_n7	271.69
q4_0_o17408_n8	270.48
q8_0_o512_n1	9.82
q8_0_o512_n2	10.12
q8_0_o512_n3	10.63
q8_0_o512_n4	11.18
q8_0_o512_n5	28.28
q8_0_o512_n6	28.35
q8_0_o512_n7	28.26
q8_0_o512_n8	28.39
q8_0_o1024_n1	11.44
q8_0_o1024_n2	11.75
q8_0_o1024_n3	12.94
q8_0_o1024_n4	14.42
q8_0_o1024_n5	28.67
q8_0_o1024_n6	28.81
q8_0_o1024_n7	28.95
q8_0_o1024_n8	32.05
q8_0_o2048_n1	17.99
q8_0_o2048_n2	19.32
q8_0_o2048_n3	20.73
q8_0_o2048_n4	23.92
q8_0_o2048_n5	41.25
q8_0_o2048_n6	37.83
q8_0_o2048_n7	37.81
q8_0_o2048_n8	37.81
q8_0_o4096_n1	33.26
q8_0_o4096_n2	39.85
q8_0_o4096_n3	38.33
q8_0_o4096_n4	46.34
q8_0_o4096_n5	57.72
q8_0_o4096_n6	61.46
q8_0_o4096_n7	57.29
q8_0_o4096_n8	58.07
q8_0_o8192_n1	213.26
q8_0_o8192_n2	209.04
q8_0_o8192_n3	222.02
q8_0_o8192_n4	210.93
q8_0_o8192_n5	219.40
q8_0_o8192_n6	218.11
q8_0_o8192_n7	224.77
q8_0_o8192_n8	219.40
q8_0_o17408_n1	439.26
q8_0_o17408_n2	439.00
q8_0_o17408_n3	440.94
q8_0_o17408_n4	443.02
q8_0_o17408_n5	470.35
q8_0_o17408_n6	471.80
q8_0_o17408_n7	470.79
q8_0_o17408_n8	474.73
q2_K_o512_n1	8.53
q2_K_o512_n2	10.47
q2_K_o512_n3	12.34
q2_K_o512_n4	14.37
q2_K_o512_n5	83.11
q2_K_o512_n6	83.60
q2_K_o512_n7	85.63
q2_K_o512_n8	84.52
q2_K_o1024_n1	11.02
q2_K_o1024_n2	14.58
q2_K_o1024_n3	18.80
q2_K_o1024_n4	22.75
q2_K_o1024_n5	87.53
q2_K_o1024_n6	88.90
q2_K_o1024_n7	89.67
q2_K_o1024_n8	90.48
q2_K_o2048_n1	17.70
q2_K_o2048_n2	26.12
q2_K_o2048_n3	35.63
q2_K_o2048_n4	44.43
q2_K_o2048_n5	110.97
q2_K_o2048_n6	110.73
q2_K_o2048_n7	110.89
q2_K_o2048_n8	110.46
q2_K_o4096_n1	29.28
q2_K_o4096_n2	45.70
q2_K_o4096_n3	62.87
q2_K_o4096_n4	81.46
q2_K_o4096_n5	150.43
q2_K_o4096_n6	150.72
q2_K_o4096_n7	150.52
q2_K_o4096_n8	150.61
q2_K_o8192_n1	51.44
q2_K_o8192_n2	85.51
q2_K_o8192_n3	124.47
q2_K_o8192_n4	151.60
q2_K_o8192_n5	271.70
q2_K_o8192_n6	270.92
q2_K_o8192_n7	270.53
q2_K_o8192_n8	271.00
q2_K_o17408_n1	107.35
q2_K_o17408_n2	179.43
q2_K_o17408_n3	236.84
q2_K_o17408_n4	301.03
q2_K_o17408_n5	530.92
q2_K_o17408_n6	529.28
q2_K_o17408_n7	531.08
q2_K_o17408_n8	530.31
q3_K_o512_n1	10.95
q3_K_o512_n2	11.60
q3_K_o512_n3	13.27
q3_K_o512_n4	85.15
q3_K_o512_n5	84.85
q3_K_o512_n6	85.74
q3_K_o512_n7	85.98
q3_K_o512_n8	85.42
q3_K_o1024_n1	16.14
q3_K_o1024_n2	18.13
q3_K_o1024_n3	21.70
q3_K_o1024_n4	83.32
q3_K_o1024_n5	83.34
q3_K_o1024_n6	83.01
q3_K_o1024_n7	83.00
q3_K_o1024_n8	83.11
q3_K_o2048_n1	29.75
q3_K_o2048_n2	32.02
q3_K_o2048_n3	38.99
q3_K_o2048_n4	105.45
q3_K_o2048_n5	111.80
q3_K_o2048_n6	105.61
q3_K_o2048_n7	105.65
q3_K_o2048_n8	105.72
q3_K_o4096_n1	47.13
q3_K_o4096_n2	55.70
q3_K_o4096_n3	69.79
q3_K_o4096_n4	149.69
