form	median_ratio	ci_lo	ci_hi	wilcoxon_p
q2_K_o512_n4	1.0000	0.9965	1.0070	0.6875
q2_K_o512_n5	5.1141	5.0647	5.1672	0.0312
q2_K_o512_n6	4.4483	4.4264	4.4947	0.0312
q2_K_o512_n7	3.8796	3.8201	3.9102	0.0312
q2_K_o512_n8	3.4187	3.4048	3.4338	0.0312
q2_K_o1024_n1	1.0005	0.9888	1.0018	0.8125
q2_K_o1024_n2	0.9945	0.9885	0.9959	0.0312
q2_K_o1024_n3	0.9628	0.9537	0.9890	0.0625
q2_K_o1024_n4	0.9960	0.9610	1.0426	0.8438
q2_K_o1024_n5	3.0113	2.9604	3.0573	0.0312
q2_K_o1024_n6	2.6134	2.5546	2.6589	0.0312
q2_K_o1024_n7	2.3935	2.3562	2.4292	0.0312
q2_K_o1024_n8	2.1211	2.1021	2.1363	0.0312
q2_K_o2048_n1	0.9378	0.8835	0.9891	0.0312
q2_K_o2048_n2	0.9780	0.9347	1.0024	0.0938
q2_K_o2048_n3	0.9845	0.9679	0.9936	0.0312
q2_K_o2048_n4	1.0170	0.9892	1.0462	0.4375
q2_K_o2048_n5	2.0758	2.0176	2.0880	0.0312
q2_K_o2048_n6	1.8488	1.7584	1.8582	0.0312
q2_K_o2048_n7	1.6746	1.6320	1.7137	0.0312
q2_K_o2048_n8	1.4171	1.4117	1.4214	0.0312
q2_K_o4096_n1	0.9070	0.8871	0.9441	0.0312
q2_K_o4096_n2	0.9873	0.9647	1.0337	0.5625
q2_K_o4096_n3	0.9854	0.9823	0.9946	0.0312
q2_K_o4096_n4	0.9864	0.9767	1.0168	0.4375
q2_K_o4096_n5	1.4522	1.4384	1.4949	0.0312
q2_K_o4096_n6	1.3004	1.2905	1.3272	0.0312
q2_K_o4096_n7	1.1458	1.1423	1.1470	0.0312
q2_K_o4096_n8	1.0286	1.0238	1.0330	0.0312
q2_K_o8192_n1	0.9641	0.9344	1.0202	0.2188
q2_K_o8192_n2	1.0064	0.9812	1.0291	0.6875
q2_K_o8192_n3	1.0163	0.9936	1.0417	0.2188
q2_K_o8192_n4	0.9846	0.9749	1.0038	0.1562
q2_K_o8192_n5	1.5083	1.4874	1.5168	0.0312
q2_K_o8192_n6	1.2746	1.2621	1.2844	0.0312
q2_K_o8192_n7	1.0876	1.0853	1.1141	0.0312
q2_K_o8192_n8	0.9720	0.9718	0.9785	0.0312
q2_K_o17408_n1	1.0031	0.9717	1.0151	0.4375
q2_K_o17408_n2	1.0006	0.9702	1.0521	0.8438
q2_K_o17408_n3	1.0075	0.9716	1.0213	0.8438
q2_K_o17408_n4	0.9800	0.9601	1.0206	0.4375
q2_K_o17408_n5	1.4971	1.4537	1.5156	0.0312
q2_K_o17408_n6	1.2373	1.2131	1.2548	0.0312
q2_K_o17408_n7	1.0456	1.0045	1.0691	0.0312
q2_K_o17408_n8	0.9426	0.9122	0.9628	0.0312
q3_K_o512_n1	1.0005	0.9954	1.0111	0.6875
q3_K_o512_n2	0.9996	0.9949	1.0026	0.8125
q3_K_o512_n3	0.9936	0.9829	1.0064	0.3125
q3_K_o512_n4	5.6598	5.6301	5.7435	0.0312
q3_K_o512_n5	4.8897	4.8050	5.0720	0.0312
q3_K_o512_n6	4.4453	4.3603	4.5469	0.0312
q3_K_o512_n7	3.9667	3.9345	4.0537	0.0312
q3_K_o512_n8	3.5784	3.5187	3.6479	0.0312
q3_K_o1024_n1	0.9892	0.9664	0.9982	0.0625
q3_K_o1024_n2	0.9648	0.9558	0.9798	0.0312
q3_K_o1024_n3	0.9703	0.9586	0.9889	0.0625
q3_K_o1024_n4	3.2015	3.1287	3.2733	0.0312
q3_K_o1024_n5	2.8607	2.6947	2.8800	0.0312
q3_K_o1024_n6	2.5063	2.4451	2.5151	0.0312
q3_K_o1024_n7	2.2951	2.2853	2.3041	0.0312
q3_K_o1024_n8	1.9614	1.9562	1.9649	0.0312
q3_K_o2048_n1	1.0216	0.9763	1.0644	0.5625
q3_K_o2048_n2	0.9658	0.8826	0.9884	0.0312
q3_K_o2048_n3	0.9806	0.9678	1.0122	0.4375
q3_K_o2048_n4	2.2251	2.2228	2.3114	0.0312
q3_K_o2048_n5	1.8926	1.8340	1.9874	0.0312
q3_K_o2048_n6	1.7946	1.7341	1.8037	0.0312
q3_K_o2048_n7	1.6718	1.6680	1.6787	0.0312
q3_K_o2048_n8	1.3801	1.3721	1.3836	0.0312
q3_K_o4096_n1	0.9534	0.9388	0.9744	0.0312
q3_K_o4096_n2	0.9965	0.9403	1.0408	0.3125
q3_K_o4096_n3	0.9808	0.9600	0.9947	0.0625
q3_K_o4096_n4	1.7256	1.7197	1.7300	0.0312
q3_K_o4096_n5	1.4957	1.4820	1.5529	0.0312
q3_K_o4096_n6	1.3295	1.3240	1.3420	0.0312
q3_K_o4096_n7	1.2050	1.2045	1.2117	0.0312
q3_K_o4096_n8	1.0793	1.0778	1.0822	0.0312
q3_K_o8192_n1	0.9788	0.9629	1.0069	0.1562
q3_K_o8192_n2	0.9854	0.9297	1.0311	0.5625
q3_K_o8192_n3	0.9948	0.9598	1.0155	0.4375
q3_K_o8192_n4	1.7950	1.7660	1.8463	0.0312
q3_K_o8192_n5	1.4964	1.4605	1.5410	0.0312
q3_K_o8192_n6	1.3406	1.3174	1.3700	0.0312
q3_K_o8192_n7	1.2244	1.1935	1.2338	0.0312
q3_K_o8192_n8	1.0905	1.0363	1.1161	0.0312
q3_K_o17408_n1	1.0087	0.9924	1.0593	0.2188
q3_K_o17408_n2	1.0321	1.0212	1.0664	0.0312
q3_K_o17408_n3	1.0045	0.9755	1.0378	0.6875
q3_K_o17408_n4	1.8448	1.8177	1.8629	0.0312
q3_K_o17408_n5	1.5570	1.5028	1.5865	0.0312
q3_K_o17408_n6	1.3758	1.3400	1.3904	0.0312
q3_K_o17408_n7	1.1536	1.1495	1.1747	0.0312
q3_K_o17408_n8	1.0132	0.9948	1.0312	0.1562
q4_K_o512_n1	1.0030	0.9883	1.0125	0.4375
q4_K_o512_n2	1.0204	1.0086	1.0235	0.0625
q4_K_o512_n3	2.8376	2.8310	2.8679	0.0312
q4_K_o512_n4	2.5107	2.4722	2.5335	0.0312
q4_K_o512_n5	2.2205	2.1833	2.2293	0.0312
q4_K_o512_n6	1.9997	1.9718	2.0085	0.0312
q4_K_o512_n7	1.7854	1.7426	1.8302	0.0312
q4_K_o512_n8	1.5406	1.5364	1.5686	0.0312
q4_K_o1024_n1	1.0013	0.9955	1.0081	0.6250
q4_K_o1024_n2	0.9645	0.9531	0.9770	0.0312
q4_K_o1024_n3	1.9848	1.9522	2.0207	0.0312
q4_K_o1024_n4	1.7000	1.6633	1.7479	0.0312
q4_K_o1024_n5	1.4676	1.4618	1.4849	0.0312
q4_K_o1024_n6	1.3094	1.3055	1.3189	0.0312
q4_K_o1024_n7	1.1881	1.1157	1.1965	0.0312
q4_K_o1024_n8	1.0643	1.0303	1.1835	0.0312
q4_K_o2048_n1	0.9773	0.9739	0.9830	0.0312
q4_K_o2048_n2	0.9766	0.9653	1.0339	0.4375
q4_K_o2048_n3	1.2499	1.2226	1.3269	0.0312
q4_K_o2048_n4	1.1641	1.0487	1.2457	0.0312
q4_K_o2048_n5	0.9397	0.8963	0.9413	0.0312
q4_K_o2048_n6	0.8173	0.8163	0.8652	0.0312
q4_K_o2048_n7	0.6851	0.6526	0.7197	0.0312
q4_K_o2048_n8	0.6477	0.6032	0.6943	0.0312
q4_K_o4096_n1	0.9905	0.9379	1.1111	1.0000
q4_K_o4096_n2	0.9935	0.9846	1.0049	0.3125
q4_K_o4096_n3	0.9993	0.9643	1.0357	0.6875
q4_K_o4096_n4	0.8332	0.8109	0.8447	0.0312
q4_K_o4096_n5	0.6842	0.6614	0.7243	0.0312
q4_K_o4096_n6	0.6025	0.5967	0.6053	0.0312
q4_K_o4096_n7	0.5321	0.5073	0.5561	0.0312
q4_K_o4096_n8	0.4725	0.4494	0.4775	0.0312
q4_K_o8192_n1	1.0425	0.9407	1.0796	0.6875
q4_K_o8192_n2	1.0058	0.9689	1.0327	0.8438
q4_K_o8192_n3	1.0799	1.0290	1.0928	0.0625
q4_K_o8192_n4	0.8723	0.8447	0.9115	0.0312
q4_K_o8192_n5	0.7402	0.7160	0.7686	0.0312
q4_K_o8192_n6	0.6471	0.6213	0.6797	0.0312
q4_K_o8192_n7	0.5659	0.5427	0.5781	0.0312
q4_K_o8192_n8	0.4989	0.4973	0.5073	0.0312
q4_K_o17408_n1	1.0283	0.9570	1.0496	0.5625
q4_K_o17408_n2	0.9943	0.9856	1.0267	0.4375
q4_K_o17408_n3	1.2289	1.2050	1.2564	0.0312
q4_K_o17408_n4	1.1648	1.1447	1.1788	0.0312
q4_K_o17408_n5	1.0122	0.9801	1.0323	0.5625
q4_K_o17408_n6	0.8844	0.8586	0.9030	0.0312
q4_K_o17408_n7	0.7698	0.7602	0.7821	0.0312
q4_K_o17408_n8	0.6739	0.6625	0.6815	0.0312
q6_K_o512_n1	1.0030	0.9996	1.0144	0.1562
q6_K_o512_n2	0.9959	0.9768	1.0067	0.4375
q6_K_o512_n3	0.9929	0.9914	1.0000	0.0625
q6_K_o512_n4	2.8205	2.8121	2.8410	0.0312
q6_K_o512_n5	2.5087	2.4984	2.5451	0.0312
q6_K_o512_n6	2.2114	2.1991	2.2250	0.0312
q6_K_o512_n7	2.0094	2.0000	2.0370	0.0312
q6_K_o512_n8	1.8135	1.8068	1.8272	0.0312
q6_K_o1024_n1	0.9634	0.9556	0.9777	0.0312
q6_K_o1024_n2	0.9565	0.9470	0.9743	0.0312
q6_K_o1024_n3	0.9465	0.9364	0.9709	0.0312
q6_K_o1024_n4	1.7558	1.6983	1.7603	0.0312
q6_K_o1024_n5	1.5502	1.5058	1.5787	0.0312
q6_K_o1024_n6	1.4402	1.4087	1.4983	0.0312
q6_K_o1024_n7	1.2487	1.1917	1.2657	0.0312
q6_K_o1024_n8	1.1385	1.0842	1.1544	0.0312
q6_K_o2048_n1	0.9748	0.9296	0.9791	0.0312
q6_K_o2048_n2	1.0647	0.9755	1.0969	0.1562
q6_K_o2048_n3	0.9899	0.9786	1.0374	0.4375
q6_K_o2048_n4	1.2291	1.1494	1.2396	0.0312
q6_K_o2048_n5	1.0727	1.0066	1.0755	0.0312
q6_K_o2048_n6	0.9525	0.9389	0.9542	0.0312
q6_K_o2048_n7	0.8480	0.8334	0.8954	0.0312
q6_K_o2048_n8	0.7561	0.7311	0.7582	0.0312
q6_K_o4096_n1	0.9918	0.9335	1.0082	0.3125
q6_K_o4096_n2	0.9911	0.9586	1.0043	0.1562
q6_K_o4096_n3	1.0773	0.9992	1.0881	0.0938
q6_K_o4096_n4	1.0906	1.0481	1.1232	0.0312
q6_K_o4096_n5	0.9513	0.9064	0.9616	0.0312
q6_K_o4096_n6	0.8489	0.8141	0.8508	0.0312
q6_K_o4096_n7	0.7622	0.7567	0.7647	0.0312
q6_K_o4096_n8	0.6975	0.6782	0.7164	0.0312
q6_K_o8192_n1	0.9759	0.9602	1.0016	0.0938
q6_K_o8192_n2	0.9845	0.9605	1.0313	0.6875
q6_K_o8192_n3	0.9991	0.9833	1.0242	1.0000
q6_K_o8192_n4	1.1549	1.1288	1.1930	0.0312
q6_K_o8192_n5	0.9612	0.9242	0.9826	0.0312
q6_K_o8192_n6	0.8428	0.8358	0.8567	0.0312
q6_K_o8192_n7	0.7644	0.7432	0.7841	0.0312
q6_K_o8192_n8	0.7067	0.6910	0.7095	0.0312
q6_K_o17408_n1	1.0064	0.9691	1.0182	0.8438
q6_K_o17408_n2	1.0017	0.9655	1.0111	0.8438
q6_K_o17408_n3	1.0123	0.9798	1.0265	0.5625
q6_K_o17408_n4	1.0817	1.0522	1.1136	0.0312
q6_K_o17408_n5	1.0208	1.0117	1.0371	0.0312
q6_K_o17408_n6	0.9263	0.9071	0.9459	0.0312
q6_K_o17408_n7	0.8313	0.8256	0.8375	0.0312
q6_K_o17408_n8	0.7651	0.7513	0.7812	0.0312
