q4_0_o512_n1	7.18
q4_0_o512_n2	7.53
q4_0_o512_n3	8.44
q4_0_o512_n4	9.25
q4_0_o512_n5	10.05
q4_0_o512_n6	11.26
q4_0_o512_n7	11.79
q4_0_o512_n8	13.72
q4_0_o1024_n1	9.01
q4_0_o1024_n2	9.85
q4_0_o1024_n3	11.90
q4_0_o1024_n4	12.90
q4_0_o1024_n5	14.54
q4_0_o1024_n6	16.69
q4_0_o1024_n7	21.35
q4_0_o1024_n8	21.01
q4_0_o2048_n1	13.02
q4_0_o2048_n2	14.95
q4_0_o2048_n3	17.87
q4_0_o2048_n4	22.77
q4_0_o2048_n5	24.44
q4_0_o2048_n6	28.08
q4_0_o2048_n7	31.78
q4_0_o2048_n8	40.27
q4_0_o4096_n1	21.57
q4_0_o4096_n2	24.58
q4_0_o4096_n3	30.53
q4_0_o4096_n4	37.31
q4_0_o4096_n5	43.45
q4_0_o4096_n6	50.70
q4_0_o4096_n7	57.46
q4_0_o4096_n8	66.56
q4_0_o8192_n1	37.43
q4_0_o8192_n2	44.71
q4_0_o8192_n3	58.11
q4_0_o8192_n4	71.19
q4_0_o8192_n5	83.42
q4_0_o8192_n6	97.70
q4_0_o8192_n7	109.20
q4_0_o8192_n8	126.60
q4_0_o17408_n1	231.19
q4_0_o17408_n2	232.83
q4_0_o17408_n3	234.70
q4_0_o17408_n4	240.19
q4_0_o17408_n5	245.87
q4_0_o17408_n6	254.34
q4_0_o17408_n7	264.11
q4_0_o17408_n8	296.81
q8_0_o512_n1	9.78
q8_0_o512_n2	10.05
q8_0_o512_n3	10.58
q8_0_o512_n4	11.16
q8_0_o512_n5	11.83
q8_0_o512_n6	12.65
q8_0_o512_n7	14.04
q8_0_o512_n8	16.06
q8_0_o1024_n1	11.65
q8_0_o1024_n2	12.02
q8_0_o1024_n3	12.96
q8_0_o1024_n4	15.39
q8_0_o1024_n5	17.23
q8_0_o1024_n6	19.41
q8_0_o1024_n7	21.67
q8_0_o1024_n8	24.52
q8_0_o2048_n1	19.81
q8_0_o2048_n2	19.73
q8_0_o2048_n3	21.32
q8_0_o2048_n4	24.59
q8_0_o2048_n5	31.94
q8_0_o2048_n6	33.15
q8_0_o2048_n7	38.26
q8_0_o2048_n8	42.53
q8_0_o4096_n1	36.09
q8_0_o4096_n2	38.06
q8_0_o4096_n3	38.74
q8_0_o4096_n4	43.97
q8_0_o4096_n5	51.38
q8_0_o4096_n6	59.19
q8_0_o4096_n7	69.39
q8_0_o4096_n8	78.92
q8_0_o8192_n1	208.63
q8_0_o8192_n2	207.87
q8_0_o8192_n3	215.26
q8_0_o8192_n4	210.40
q8_0_o8192_n5	212.75
q8_0_o8192_n6	214.35
q8_0_o8192_n7	221.35
q8_0_o8192_n8	223.97
q8_0_o17408_n1	439.84
q8_0_o17408_n2	439.07
q8_0_o17408_n3	442.70
q8_0_o17408_n4	443.18
q8_0_o17408_n5	445.72
q8_0_o17408_n6	450.45
q8_0_o17408_n7	450.99
q8_0_o17408_n8	460.71
q2_K_o512_n1	8.57
q2_K_o512_n2	10.43
q2_K_o512_n3	12.35
q2_K_o512_n4	14.37
q2_K_o512_n5	16.74
q2_K_o512_n6	19.08
q2_K_o512_n7	22.24
q2_K_o512_n8	24.95
q2_K_o1024_n1	11.17
q2_K_o1024_n2	14.79
q2_K_o1024_n3	19.59
q2_K_o1024_n4	23.60
q2_K_o1024_n5	29.50
q2_K_o1024_n6	34.21
q2_K_o1024_n7	37.61
q2_K_o1024_n8	42.66
q2_K_o2048_n1	20.09
q2_K_o2048_n2	26.86
q2_K_o2048_n3	36.06
q2_K_o2048_n4	44.97
q2_K_o2048_n5	53.25
q2_K_o2048_n6	59.78
q2_K_o2048_n7	67.88
q2_K_o2048_n8	78.56
q2_K_o4096_n1	32.28
q2_K_o4096_n2	46.17
q2_K_o4096_n3	62.73
q2_K_o4096_n4	81.93
q2_K_o4096_n5	103.75
q2_K_o4096_n6	115.82
q2_K_o4096_n7	131.77
q2_K_o4096_n8	147.04
q2_K_o8192_n1	56.16
q2_K_o8192_n2	87.43
q2_K_o8192_n3	117.61
q2_K_o8192_n4	149.12
q2_K_o8192_n5	181.14
q2_K_o8192_n6	212.37
q2_K_o8192_n7	249.30
q2_K_o8192_n8	279.06
q2_K_o17408_n1	107.91
q2_K_o17408_n2	170.14
q2_K_o17408_n3	237.40
q2_K_o17408_n4	294.87
q2_K_o17408_n5	360.72
q2_K_o17408_n6	448.05
q2_K_o17408_n7	555.10
q2_K_o17408_n8	591.65
q3_K_o512_n1	10.84
q3_K_o512_n2	11.64
q3_K_o512_n3	13.45
q3_K_o512_n4	15.02
q3_K_o512_n5	17.52
q3_K_o512_n6	19.43
q3_K_o512_n7	21.32
q3_K_o512_n8	24.14
q3_K_o1024_n1	16.21
q3_K_o1024_n2	18.66
q3_K_o1024_n3	22.40
q3_K_o1024_n4	26.49
q3_K_o1024_n5	28.96
q3_K_o1024_n6	33.14
q3_K_o1024_n7	36.42
